code;name_old;name_new;row_old;row_new;price_old;price_new;delta;pct;unit_old;unit_new;weight_old;weight_new;price_ton_old;price_ton_new;name_changed;unit_changed;weight_changed
69261;"Панель фасадная ""1А"" (ПФ1А) 0,7 (Колор-поток)";"Панель фасадная ""1А"" (ПФ1А) 0,7 (Колор-поток)";871;1567;1368.0;1479.0;111.0;0.08114035087719298;м2;м2;6.275;6.275;218008.0;235697.0;False;False;False
69262;"Панель фасадная ""2А"" (ПФ2А) 0,7 (Колор-поток)";"Панель фасадная ""2А"" (ПФ2А) 0,7 (Колор-поток)";878;1571;1368.0;1479.0;111.0;0.08114035087719298;м2;м2;6.275;6.275;218008.0;235697.0;False;False;False
69263;"Панель фасадная ""3А"" (ПФ3А) 0,7 (Колор-поток)";"Панель фасадная ""3А"" (ПФ3А) 0,7 (Колор-поток)";885;1575;1368.0;1479.0;111.0;0.08114035087719298;м2;м2;6.275;6.275;218008.0;235697.0;False;False;False
18851;Лист плоский нест обрезь (Оцинк.);Лист плоский нест обрезь (Оцинк.);562;1420;426.0;460.0;34.0;0.07981220657276995;м2;м2;3.906;3.906;109063.0;117768.0;False;False;False
63352;Лист плоский (Оцинк.);Лист плоский (Оцинк.);538;1411;426.0;460.0;34.0;0.07981220657276995;м2;м2;3.472;3.472;122696.0;132488.0;False;False;False
70394;Лист плоский-штрипс (Оцинк.);Лист плоский-штрипс (Оцинк.);570;1425;426.0;460.0;34.0;0.07981220657276995;м2;м2;3.472;3.472;122696.0;132488.0;False;False;False
118266;Кронштейн выравнивающий П-125 М (КВП 125М) (Оцинк.);Кронштейн выравнивающий П-125 М (КВП 125М) (Оцинк.);354;278;13.0;14.0;1.0;0.07692307692307693;шт;шт;0.119;0.119;109244.0;117647.0;False;False;False
12001;Кронштейн выравнивающий П-125 М (КВП 125М) П350 (Оцинк.) Не использовать!;Кронштейн выравнивающий П-125 М (КВП 125М) П350 (Оцинк.) Не использовать!;355;602;13.0;14.0;1.0;0.07692307692307693;шт;шт;0.119;0.119;109244.0;117647.0;False;False;False
1665;Фальц Classic (ФК1) (Оцинк.);Фальц Classic (ФК1) (Оцинк.);2102;1725;553.0;594.0;41.0;0.07414104882459313;м2;м2;4.0037;4.0037;138123.0;148363.0;False;False;False
1667;Фальц Elegant (ФК2) (Оцинк.);Фальц Elegant (ФК2) (Оцинк.);2108;1727;553.0;594.0;41.0;0.07414104882459313;м2;м2;4.0037;4.0037;138123.0;148363.0;False;False;False
